,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Avarua,-21.2078,-159.775,78.8,94,40,4.61,CK,1612779975
1,Lebu,-37.6167,-73.65,57.58,95,30,4.83,CL,1612779975
2,Bluff,-46.6,168.3333,61.32,76,100,10.67,NZ,1612779975
3,Eilat,29.5581,34.9482,69.8,49,0,6.91,IL,1612779975
4,Pacifica,37.6138,-122.4869,48.99,93,90,4.36,US,1612779975
5,Āgaro,7.85,36.65,86.58,24,78,2.98,ET,1612779784
6,Busselton,-33.65,115.3333,66.0,88,56,1.99,AU,1612779976
7,Kawalu,-7.3817,108.2082,76.28,89,99,1.72,ID,1612779976
8,George Town,5.4112,100.3354,87.8,66,20,9.22,MY,1612779729
9,Rikitea,-23.1203,-134.9692,77.4,67,8,7.83,PF,1612779976
10,Sitka,57.0531,-135.33,28.4,74,90,13.8,US,1612779976
11,Chapleau,47.8405,-83.4034,-16.33,86,2,3.53,CA,1612779977
12,Butaritari,3.0707,172.7902,81.77,81,87,17.38,KI,1612779977
13,Jamestown,42.097,-79.2353,8.6,92,90,3.44,US,1612779977
14,Geraldton,-28.7667,114.6,73.4,68,75,14.97,AU,1612779977
15,Broome,42.2506,-75.833,3.2,66,1,6.91,US,1612779977
16,Ushuaia,-54.8,-68.3,53.6,71,75,8.05,AR,1612779978
17,Codrington,-38.2667,141.9667,57.99,77,93,12.84,AU,1612779978
18,Albany,42.6001,-73.9662,14.0,58,4,1.01,US,1612779967
19,Crăciunelu de Jos,46.1833,23.8333,53.6,93,90,5.75,RO,1612779978
20,Norman Wells,65.282,-126.8329,-43.6,66,1,2.3,CA,1612779978
21,Saint-Augustin,51.226,-58.6502,15.78,94,100,10.54,CA,1612779979
22,Port Moresby,-9.4431,147.1797,80.6,83,40,3.44,PG,1612779692
23,Dukat,62.55,155.55,-0.96,91,87,4.65,RU,1612779979
24,Chokurdakh,70.6333,147.9167,-12.98,86,0,7.7,RU,1612779980
25,Mataura,-46.1927,168.8643,64.33,65,100,3.94,NZ,1612779980
26,Alta Floresta,-9.8756,-56.0861,69.37,99,100,2.06,BR,1612779980
27,Smithers,54.7804,-127.1743,-5.8,84,90,0.36,CA,1612779980
28,Moree,-29.4667,149.85,82.4,34,59,12.66,AU,1612779980
29,Dingle,10.9995,122.6711,72.86,92,100,8.37,PH,1612779981
30,Luwuk,-0.9516,122.7875,80.55,76,97,1.77,ID,1612779981
31,Oranjemund,-28.55,16.4333,70.56,59,0,17.81,NA,1612779981
32,Bruneck,46.7958,11.9364,35.6,60,75,2.91,IT,1612779981
33,Ostrovnoy,68.0531,39.5131,0.64,89,96,1.54,RU,1612779981
34,Bredasdorp,-34.5322,20.0403,82.4,39,8,3.44,ZA,1612779981
35,Mar del Plata,-38.0023,-57.5575,62.01,67,40,13.8,AR,1612779695
36,Atuona,-9.8,-139.0333,79.47,76,27,20.76,PF,1612779982
37,Beloha,-25.1667,45.05,94.51,41,44,4.83,MG,1612779982
38,Lompoc,34.6391,-120.4579,50.0,93,90,1.77,US,1612779983
39,Poconé,-16.2567,-56.6228,69.13,71,37,1.74,BR,1612779983
40,Holme,56.1138,10.1725,28.4,80,75,16.11,DK,1612779983
41,Guaymas,27.9333,-110.9,57.09,49,0,0.16,MX,1612779983
42,Esperance,-33.8667,121.9,86.0,32,0,20.71,AU,1612779984
43,Saskylakh,71.9167,114.0833,-33.65,82,41,8.72,RU,1612779984
44,Cherskiy,68.75,161.3,3.18,68,0,3.8,RU,1612779984
45,Port Elizabeth,-33.918,25.5701,75.2,60,20,23.02,ZA,1612779984
46,Shimoda,34.6667,138.95,47.39,52,0,22.48,JP,1612779985
47,Rognan,67.0953,15.3878,26.01,93,65,5.95,NO,1612779985
