,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Vaini,-21.2,-175.2,78.8,94,40,11.5,TO,1612698213
1,Ponta do Sol,32.6667,-17.1,62.01,67,92,3.0,PT,1612698213
2,Rikitea,-23.1203,-134.9692,76.8,75,50,10.83,PF,1612698213
3,Narasapuram,16.45,81.6667,77.14,61,75,10.65,IN,1612698214
4,Mahébourg,-20.4081,57.7,87.8,62,40,16.11,MU,1612698214
5,Provideniya,64.3833,-173.3,-5.03,78,0,13.11,RU,1612698214
6,Svatove,49.4103,38.1503,17.28,74,0,10.0,UA,1612698214
7,Bara Uchāna,29.4667,76.1667,69.6,33,0,4.41,IN,1612698214
8,Yellowknife,62.456,-114.3525,-45.99,66,1,3.44,CA,1612698215
9,Busselton,-33.65,115.3333,62.01,95,100,1.99,AU,1612698215
10,Lagoa,39.05,-27.9833,58.73,79,100,19.06,PT,1612698215
11,Hermanus,-34.4187,19.2345,72.0,65,89,4.0,ZA,1612698209
12,Nizhniy Kuranakh,58.8353,125.4869,-19.08,85,18,2.01,RU,1612698215
13,New Norfolk,-42.7826,147.0587,55.0,59,7,1.01,AU,1612698216
14,Atchison,39.563,-95.1216,3.99,84,99,8.23,US,1612698216
15,Saskylakh,71.9167,114.0833,-39.01,78,27,11.12,RU,1612698216
16,Sitka,57.0531,-135.33,30.2,64,90,3.44,US,1612698216
17,Albany,42.6001,-73.9662,19.99,58,100,4.72,US,1612698003
18,Aklavik,68.2191,-135.0107,-13.0,76,100,11.5,CA,1612698217
19,Redcliffe,-27.2307,153.0973,80.01,83,75,5.75,AU,1612698218
20,Bredasdorp,-34.5322,20.0403,73.4,53,96,6.91,ZA,1612698218
21,Nanortalik,60.1432,-45.2371,32.47,87,78,10.96,GL,1612698218
22,Xining,36.6167,101.7667,30.67,59,45,3.4,CN,1612698218
23,Severo-Kuril'sk,50.6789,156.125,22.46,92,100,25.97,RU,1612698219
24,Mataura,-46.1927,168.8643,53.69,94,72,0.87,NZ,1612698219
25,Charagua,-19.8,-63.2167,60.8,100,20,1.45,BO,1612698219
26,Butaritari,3.0707,172.7902,81.27,80,41,17.6,KI,1612698219
27,Sørland,67.667,12.6934,32.0,93,40,9.22,NO,1612698220
28,Bethel,41.3712,-73.414,28.99,74,90,2.98,US,1612698220
29,Dikson,73.5069,80.5464,-26.63,87,91,8.7,RU,1612698220
30,Punta Arenas,-53.15,-70.9167,48.2,76,0,9.22,CL,1612698006
31,Khanbari,27.3747,87.2039,57.07,46,8,2.57,NP,1612698221
32,Chokurdakh,70.6333,147.9167,-29.0,84,0,3.47,RU,1612698221
33,Qaanaaq,77.484,-69.3632,7.77,90,100,1.86,GL,1612698221
34,Cape Town,-33.9258,18.4232,77.0,49,20,26.46,ZA,1612698221
35,Mount Gambier,-37.8333,140.7667,57.2,67,90,10.36,AU,1612698221
36,Yuli,9.6989,10.2744,95.52,10,89,6.69,NG,1612698222
37,Sept-Îles,50.2001,-66.3821,19.99,68,8,13.8,CA,1612698222
38,Yulara,-25.2406,130.9889,89.6,20,0,12.66,AU,1612698222
39,Tasiilaq,65.6145,-37.6368,23.0,58,1,3.44,GL,1612698222
40,Carnarvon,-24.8667,113.6333,82.4,100,75,12.66,AU,1612698223
41,Tuktoyaktuk,69.4541,-133.0374,-16.85,87,100,16.22,CA,1612698223
42,Shimoda,34.6667,138.95,46.0,58,0,1.99,JP,1612698223
43,Codrington,-38.2667,141.9667,55.74,74,31,10.42,AU,1612698223
44,Leningradskiy,69.3833,178.4167,-12.1,73,8,5.21,RU,1612698224
45,Puerto Boyacá,5.9758,-74.5885,73.26,94,100,0.83,CO,1612698224
46,Morant Bay,17.8815,-76.4093,78.8,73,20,27.63,JM,1612698225
47,Bengkulu,-3.8004,102.2655,79.95,85,100,8.68,ID,1612698225
48,León,21.1167,-101.6667,48.2,37,1,5.75,MX,1612698225
49,Ribeira Grande,38.5167,-28.7,60.8,82,75,17.27,PT,1612698226
50,Jamestown,42.097,-79.2353,17.6,62,90,6.91,US,1612698226
51,Tura,25.5198,90.2201,64.18,43,63,2.86,IN,1612698226
52,Poum,-20.2333,164.0167,80.31,70,8,4.21,NC,1612698228
53,San Miguel de Tucumán,-26.8241,-65.2226,69.8,83,0,4.61,AR,1612698228
54,Ossora,59.2353,163.0719,24.06,96,100,39.17,RU,1612698228
55,Port Lincoln,-34.7333,135.8667,62.24,75,3,16.28,AU,1612698228
56,Planadas,3.197,-75.6451,66.42,68,76,4.16,CO,1612698229
57,Kaitangata,-46.2817,169.8464,62.01,92,43,3.0,NZ,1612698229
58,Tonstad,58.6626,6.7169,26.01,63,0,1.99,NO,1612698229
59,Srednekolymsk,67.45,153.6833,-7.65,86,100,8.14,RU,1612698229
60,Hobart,-42.8794,147.3294,55.4,50,20,10.36,AU,1612698020
61,Kapaa,22.0752,-159.319,60.8,82,1,4.61,US,1612697969
62,Vila Franca do Campo,37.7167,-25.4333,62.01,94,75,12.66,PT,1612698230
63,Zhigansk,66.7697,123.3711,-27.87,83,100,14.88,RU,1612698230
64,George Town,5.4112,100.3354,89.6,62,20,1.14,MY,1612698231
65,Gazojak,41.1875,61.4036,56.07,39,100,9.22,TM,1612698231
66,Pevek,69.7008,170.3133,-8.82,86,0,3.24,RU,1612698231
67,Inta,66.0317,60.1659,-18.65,88,100,17.16,RU,1612698231
68,Puerto Ayora,-0.7393,-90.3518,75.99,96,45,6.49,EC,1612698231
69,Oktyabr'skiy,54.4815,53.471,-4.11,88,100,14.2,RU,1612698232
70,Saint-Philippe,-21.3585,55.7679,89.6,58,20,10.36,RE,1612698232
71,Dunedin,-45.8742,170.5036,59.0,91,38,4.0,NZ,1612698098
72,Gornopravdinsk,60.05,69.9,12.38,92,100,16.67,RU,1612698232
73,Longyearbyen,78.2186,15.6401,19.4,73,75,13.8,SJ,1612698233
74,Bluff,-46.6,168.3333,56.17,91,92,2.13,NZ,1612698233
75,Zhongshu,24.5167,103.7667,50.52,91,100,3.62,CN,1612698233
76,Salalah,17.0151,54.0924,78.8,61,75,11.5,OM,1612698233
77,Lac du Bonnet,50.2536,-96.0612,-27.99,100,46,7.02,CA,1612698233
78,Evensk,61.95,159.2333,19.06,80,100,34.2,RU,1612698234
79,Lompoc,34.6391,-120.4579,53.01,100,90,3.44,US,1612698069
80,Alghero,40.5589,8.3181,59.0,88,75,16.11,IT,1612698234
81,Itanagar,27.1,93.6167,73.4,49,20,3.44,IN,1612698087
82,Hithadhoo,-0.6,73.0833,82.49,73,60,13.22,MV,1612698234
83,Zarubino,42.63,131.0922,13.21,88,29,11.99,RU,1612698235
84,Wajima,37.4,136.9,37.87,76,97,12.64,JP,1612698235
85,Baker City,44.7749,-117.8344,39.2,45,1,24.16,US,1612697952
